date,close,high,low,open,volume,ticker,date_only,daily_return,headline_count,news_volume_log
2020-01-02,152.15838623046875,152.2625919076215,149.9890318942147,150.4153225898607,22622100,MSFT,2020-01-02,,0,0.0
2020-01-03,150.2637939453125,151.5237304428571,149.7332974105456,149.9796096980777,21116200,MSFT,2020-01-03,-0.012451448336778359,3,1.3862943611198906
2020-01-06,150.65216064453125,150.718479922249,148.26491238072057,148.80489122518964,20813700,MSFT,2020-01-06,0.0025845660423036154,1,0.6931471805599453
2020-01-07,149.27853393554688,151.2584272318134,149.03223619242732,150.92687424549183,21634100,MSFT,2020-01-07,-0.00911786928981051,1,0.6931471805599453
2020-01-08,151.6563262939453,152.32892928184137,149.6290637970409,150.55743255975017,27746500,MSFT,2020-01-08,0.015928561834785082,2,1.0986122886681096
2020-01-09,153.55093383789062,153.67408993395057,152.54677800677655,153.3141040869697,21385000,MSFT,2020-01-09,0.012492769607732157,2,1.0986122886681096
2020-01-10,152.8404541015625,154.62141856495847,152.68887958234973,154.24249672186824,20725900,MSFT,2020-01-10,-0.004626997170060876,1,0.6931471805599453
2020-01-13,154.6782684326172,154.70668685049705,152.7646797173632,153.23833928861814,21626500,MSFT,2020-01-13,0.012024397217725191,4,1.6094379124341003
2020-01-14,153.58883666992188,154.98139677965818,153.20043240422595,154.7824534261497,23477400,MSFT,2020-01-14,-0.007043211523730664,3,1.3862943611198906
2020-01-15,154.58349609375,155.30346773187313,154.00564542306233,154.0529998056212,21417900,MSFT,2020-01-15,0.006476117961396799,2,1.0986122886681096
2020-01-16,157.41600036621094,157.4823196362133,155.3887382345589,155.69188726038482,23865400,MSFT,2020-01-16,0.018323458480607124,6,1.9459101490553132
2020-01-17,158.29701232910156,158.6475157371676,156.71497686229213,158.60014689568655,34371700,MSFT,2020-01-17,0.005596711648377939,5,1.791759469228055
2020-01-21,157.72865295410156,159.32962477735774,157.6623336691409,157.89916347838133,29517200,MSFT,2020-01-21,-0.003590461794808708,5,1.791759469228055
2020-01-22,156.97076416015625,158.66647335945913,156.95181373171633,158.58120365895033,24138800,MSFT,2020-01-22,-0.004805016588621092,2,1.0986122886681096
2020-01-23,157.9370574951172,158.0128447653816,156.56344755206595,157.43497947769117,19680800,MSFT,2020-01-23,0.006155880938281122,3,1.3862943611198906
2020-01-24,156.3455810546875,158.7044114684961,155.78666610061498,158.685461033882,24918100,MSFT,2020-01-24,-0.010076649936819893,5,1.791759469228055
2020-01-27,153.73095703125,154.77301392246096,151.76053138101526,152.66048172072817,32078100,MSFT,2020-01-27,-0.01672336375482808,5,1.791759469228055
2020-01-28,156.74342346191406,157.0276076258131,154.4793314082179,155.15191986936853,24899900,MSFT,2020-01-28,0.01959570465727145,4,1.6094379124341003
2020-01-29,159.18748474121094,159.86008761817865,156.96129367549298,158.99802382465174,34754500,MSFT,2020-01-29,0.015592751678610295,9,2.302585092994046
2020-01-30,163.6777801513672,164.88087936173753,161.7926100859004,164.88087936173753,51597500,MSFT,2020-01-30,0.02820759067495837,8,2.1972245773362196
2020-01-31,161.2621307373047,163.31781150569444,160.6463790875127,163.1378330139446,36142700,MSFT,2020-01-31,-0.014758566567976028,3,1.3862943611198906
2020-02-03,165.1935577392578,165.3072314390198,161.4232162077576,161.4516346326981,30107000,MSFT,2020-02-03,0.024379108622577972,10,2.3978952727983707
2020-02-04,170.63111877441406,171.1237287743186,167.0218351658526,167.80811178619967,36433300,MSFT,2020-02-04,0.03291630200094686,4,1.6094379124341003
2020-02-05,170.4226837158203,174.49615834021887,169.0111876454054,174.3351158434909,39186300,MSFT,2020-02-05,-0.001221553606932102,1,0.6931471805599453
2020-02-06,173.9562225341797,174.13621548794777,170.5742861837626,171.43635009131322,27751400,MSFT,2020-02-06,0.02073397004034705,15,2.772588722239781
2020-02-07,174.20249938964844,175.85083973913436,172.86677606101028,173.21729393859556,33529100,MSFT,2020-02-07,0.001415740419520528,5,1.791759469228055
2020-02-10,178.7591094970703,178.89173359155058,173.59622334452445,173.90884037900125,35844300,MSFT,2020-02-10,0.02615697319720911,10,2.3978952727983707
2020-02-11,174.72354125976562,180.65375376260124,173.8330589718601,180.6063849154896,53159900,MSFT,2020-02-11,-0.022575455028046143,8,2.1972245773362196
2020-02-12,174.97933959960938,176.05928293291046,172.2700060504583,175.8035026959606,47062900,MSFT,2020-02-12,0.0014640176017464146,6,1.9459101490553132
2020-02-13,174.03199768066406,176.4192313976913,173.2362386533794,173.4351820239361,35295800,MSFT,2020-02-13,-0.005414021570278149,7,2.0794415416798357
2020-02-14,175.5856170654297,175.64245390384997,173.02784369696806,173.59624099105812,23149500,MSFT,2020-02-14,0.008927205372982083,6,1.9459101490553132
2020-02-18,177.36656188964844,177.81180305026547,175.727703793834,175.83190947940273,27792200,MSFT,2020-02-18,0.010142885584729422,17,2.8903717578961645
2020-02-19,177.8984832763672,178.75339330512708,177.1290613515988,178.63940916647175,29997500,MSFT,2020-02-19,0.002998994743156125,9,2.302585092994046
2020-02-20,175.18177795410156,177.87001544081576,172.02809549780588,177.5850405545757,36862400,MSFT,2020-02-20,-0.015271098843744446,8,2.1972245773362196
2020-02-21,169.6438446044922,174.30789026966164,168.37097302614455,173.99441929987273,48572600,MSFT,2020-02-21,-0.031612496540937784,4,1.6094379124341003
2020-02-24,162.32955932617188,165.80622141128146,155.0532703487702,159.36585498840046,68311100,MSFT,2020-02-24,-0.04311553593572959,6,1.9459101490553132
2020-02-25,159.65081787109375,166.0816754656081,159.25184432237913,165.4737357884397,68073300,MSFT,2020-02-25,-0.016501871046761596,2,1.0986122886681096
2020-02-26,161.64561462402344,164.58082272532707,159.7838056869428,161.20866567721745,56206100,MSFT,2020-02-26,0.012494748097941821,8,2.1972245773362196
2020-02-27,150.25619506835938,158.66287293546242,150.06621667754132,155.13872812835805,93174900,MSFT,2020-02-27,-0.07045919298308878,11,2.4849066497880004
2020-02-28,153.89437866210938,155.50923164149168,144.3858178493649,144.77528307354186,97012700,MSFT,2020-02-28,0.024213201938827256,4,1.6094379124341003
2020-03-02,164.13436889648438,164.25786140312832,154.17935094628967,157.02907098692916,71030800,MSFT,2020-03-02,0.066539079096956,5,1.791759469228055
2020-03-03,156.2691192626953,166.2336440588436,154.13182955336734,165.09375911275336,71677000,MSFT,2020-03-03,-0.04791957764037513,6,1.9459101490553132
2020-03-04,162.006591796875,162.1490720051714,157.32354419371018,160.049786299332,49814400,MSFT,2020-03-04,0.03671533161030194,3,1.3862943611198906
2020-03-05,157.94097900390625,162.31054079350352,157.39003142065653,157.7319983863141,47817300,MSFT,2020-03-05,-0.025095354132665393,1,0.6931471805599453
2020-03-06,153.47642517089844,154.93927504171984,148.18543814642317,154.46432171432747,72821100,MSFT,2020-03-06,-0.02826722906977419,1,0.6931471805599453
2020-03-09,143.07492065429688,149.84775902864055,142.48598322850134,143.435889783358,70419300,MSFT,2020-03-09,-0.06777265306394331,2,1.0986122886681096
2020-03-10,152.85897827148438,152.96346858405525,144.93676019104754,150.2372411030131,65354400,MSFT,2020-03-10,0.06838415546515053,5,1.791759469228055
2020-03-11,145.93414306640625,149.8002550593637,143.57836446468625,149.25881588095203,56371600,MSFT,2020-03-11,-0.045302116260252046,2,1.0986122886681096
2020-03-12,132.09400939941406,145.7821669760473,131.63805829012034,138.0214317979302,93226400,MSFT,2020-03-12,-0.09483821521255886,1,0.6931471805599453
2020-03-13,150.8736572265625,153.79937110403267,133.6803430845326,140.11121440764762,92727400,MSFT,2020-03-13,0.14216880774936747,2,1.0986122886681096
2020-03-16,128.63636779785156,141.86857610037168,128.2374087100847,132.98694236601375,87905900,MSFT,2020-03-16,-0.14739013978641646,2,1.0986122886681096
2020-03-17,139.22781372070312,140.111219878546,128.23738768544888,132.98692056268771,81059800,MSFT,2020-03-17,0.08233632606523633,2,1.0986122886681096
2020-03-18,133.3668670654297,138.68634927369683,128.25637994155176,131.08709725869974,81593200,MSFT,2020-03-18,-0.04209609056298724,8,2.1972245773362196
2020-03-19,135.56118774414062,142.62848121921525,132.03702760813172,135.61817982543892,85922700,MSFT,2020-03-19,0.01645326704446326,2,1.0986122886681096
2020-03-20,130.46969604492188,139.73128672500724,129.054329789664,138.68638351717573,84866200,MSFT,2020-03-20,-0.03755862414564026,5,1.791759469228055
2020-03-23,129.16830444335938,133.52838705805826,125.88163549437336,130.14670715023314,78975200,MSFT,2020-03-23,-0.009974665696426688,7,2.0794415416798357
2020-03-24,140.90911865234375,142.1060100501509,134.19328761949444,136.5490515459888,82516700,MSFT,2020-03-24,0.09089547361932548,3,1.3862943611198906
2020-03-25,139.56031799316406,146.59913149917378,137.2045529736257,141.45063791485885,75638200,MSFT,2020-03-25,-0.009572131825673402,4,1.6094379124341003
2020-03-26,148.28993225097656,148.81238382335576,140.9376493369031,140.96614537772146,64568100,MSFT,2020-03-26,0.06255083381395066,2,1.0986122886681096
2020-03-27,142.2010040283203,147.13102121684818,141.7260507653704,144.14831530529963,57042300,MSFT,2020-03-27,-0.041060968403107134,2,1.0986122886681096
2020-03-30,152.2035369873047,152.55501230058746,142.49548995938957,144.8037706334884,63420300,MSFT,2020-03-30,0.07034080404237031,5,1.791759469228055
2020-03-31,149.8097686767578,156.52560046154846,148.71736744542542,151.41509857414286,77927200,MSFT,2020-03-31,-0.015727415787627486,5,1.791759469228055
2020-04-01,144.49029541015625,149.8477681249907,143.2649222575526,145.33571171552185,57969900,MSFT,2020-04-01,-0.03550818690655155,3,1.3862943611198906
2020-04-02,147.48251342773438,147.69149406752848,142.82797625652344,144.25283634906882,49630700,MSFT,2020-04-02,0.02070878192258019,1,0.6931471805599453
2020-04-03,146.1241455078125,149.4963171018683,144.5662991410881,147.33053104311554,41243300,MSFT,2020-04-03,-0.009210365950180766,5,1.791759469228055
2020-04-06,156.99107360839844,158.1594547108867,149.68628926690775,152.28903866452734,67111700,MSFT,2020-04-06,0.07436777859552945,4,1.6094379124341003
2020-04-07,155.3002166748047,161.48410268308842,155.08172774695498,161.09463754501482,62769000,MSFT,2020-04-07,-0.010770401747881908,5,1.791759469228055
2020-04-08,156.8580780029297,158.32092775680474,155.30972564119622,157.3710211779595,48318200,MSFT,2020-04-08,0.010031288825482543,7,2.0794415416798357
2020-04-09,156.86753845214844,158.98582561353126,155.1482102296076,158.0264253911556,51385100,MSFT,2020-04-09,6.031215822099867e-05,4,1.6094379124341003
2020-04-13,157.21902465820312,157.2760312253535,154.16983281192037,156.1171440984928,41905300,MSFT,2020-04-13,0.0022406560944532306,5,1.791759469228055
2020-04-14,164.99876403808594,165.04626226424094,159.58429962815816,160.53420617356386,52874300,MSFT,2020-04-14,0.049483447673054126,3,1.3862943611198906
2020-04-15,163.26992797851562,164.8752722248114,160.76217548860208,162.6239840446775,40940800,MSFT,2020-04-15,-0.010477872786800124,3,1.3862943611198906
2020-04-16,168.1714630126953,168.3994458213664,164.23885015327437,165.5687281288851,50479600,MSFT,2020-04-16,0.030021052222333644,7,2.0794415416798357
2020-04-17,169.6533203125,170.98318372145278,167.06006492340595,170.50823043333762,52765600,MSFT,2020-04-17,0.008811585944833222,3,1.3862943611198906
2020-04-20,166.29063415527344,169.795791556013,166.22414823554044,167.781994358711,36669600,MSFT,2020-04-20,-0.019820927471578598,8,2.1972245773362196
2020-04-21,159.4133758544922,164.97032227670314,157.78902874988998,164.8088398501871,56203700,MSFT,2020-04-21,-0.041356858945884034,11,2.4849066497880004
2020-04-22,164.8278350830078,165.2837862971118,162.26308957383472,162.804528922878,34620200,MSFT,2020-04-22,0.033964899115227265,9,2.302585092994046
2020-04-23,162.8330078125,166.2906676852295,162.34856060445543,165.38825920227922,32790800,MSFT,2020-04-23,-0.012102490271156063,8,2.1972245773362196
2020-04-24,165.80618286132812,165.81567670835807,162.1585453714661,163.44091045280888,34277600,MSFT,2020-04-24,0.018259043966390998,4,1.6094379124341003
2020-04-27,165.33126831054688,168.0384937789197,164.6188382671183,167.74402501341078,33194400,MSFT,2020-04-27,-0.0028642752796405047,5,1.791759469228055
2020-04-28,161.30360412597656,166.87005623256687,160.90464517567204,166.79406198092485,34392700,MSFT,2020-04-28,-0.024361176356580194,6,1.9459101490553132
2020-04-29,168.54190063476562,168.7793772559572,163.26993123985068,164.54280245077612,51286600,MSFT,2020-04-29,0.044873743200034344,8,2.1972245773362196
2020-04-30,170.23280334472656,171.3631802570195,167.4020706557273,170.98322333626544,53875900,MSFT,2020-04-30,0.010032536144380932,12,2.5649493574615367
2020-05-01,165.82522583007812,169.69133870777904,165.29326588269856,166.99360705670193,39370500,MSFT,2020-05-01,-0.025891469963770453,7,2.0794415416798357
2020-05-04,169.8812713623047,170.03325987772834,165.09374908184083,165.74918687198553,30372900,MSFT,2020-05-04,0.024459761848193207,15,2.772588722239781
2020-05-05,171.7051239013672,174.4503535890993,170.88820358800612,171.57213754777004,36839200,MSFT,2020-05-05,0.010736042439738913,6,1.9459101490553132
2020-05-06,173.39596557617188,174.9728142035313,172.5315614803006,172.95901660365254,32139300,MSFT,2020-05-06,0.009847357122411582,11,2.4849066497880004
2020-05-07,174.40286254882812,175.30527094576834,173.43395373066107,174.94430178922232,28316000,MSFT,2020-05-07,0.005806922723435193,8,2.1972245773362196
2020-05-08,175.42874145507812,175.73271852011223,174.1748722978731,175.71371632994155,30877800,MSFT,2020-05-08,0.005882236628786952,15,2.772588722239781
2020-05-11,177.38555908203125,178.11697670899608,173.6904230840471,173.97538346108584,30892700,MSFT,2020-05-11,0.01115448706251021,11,2.4849066497880004
2020-05-12,173.36744689941406,177.67052260190522,173.16797463195846,177.4425542962417,32038200,MSFT,2020-05-12,-0.022651856235709866,10,2.3978952727983707
2020-05-13,170.74574279785156,174.83034482903608,167.69653567270362,173.40548466660616,44711500,MSFT,2020-05-13,-0.015122239777134117,11,2.4849066497880004
2020-05-14,171.48663330078125,171.63862183186455,166.87958060148486,168.64640741566177,41873900,MSFT,2020-05-14,0.004339144805541872,9,2.302585092994046
2020-05-15,173.98489379882812,177.68952368706329,168.13346574945095,170.09027099782256,46610400,MSFT,2020-05-15,0.014568252055336739,21,3.091042453358316
2020-05-18,175.64723205566406,176.87260518633394,174.74482368880803,176.44515011723627,35264500,MSFT,2020-05-18,0.009554497637927373,6,1.9459101490553132
2020-05-19,174.4313507080078,177.25257442284837,174.29836436598677,175.76121412821837,26799100,MSFT,2020-05-19,-0.006922291535291225,4,1.6094379124341003
2020-05-20,176.85081481933594,177.0318020320773,175.2124241516012,176.04113977332156,31261300,MSFT,2020-05-20,0.013870580612416639,5,1.791759469228055
2020-05-21,174.7266082763672,177.81288202232966,174.59325157631395,176.60313689948154,29119500,MSFT,2020-05-21,-0.01201129067535689,3,1.3862943611198906
2020-05-22,174.8029022216797,175.70783871509175,173.87892514352026,174.49809298294946,20826900,MSFT,2020-05-22,0.00043664754936356687,0,0.0
2020-05-26,172.9549102783203,177.6509856570582,172.50720958063704,177.49857381640152,36073600,MSFT,2020-05-26,-0.010571860763591956,1,0.6931471805599453
2020-05-27,173.18348693847656,173.35495386661088,168.22069886726882,171.6498775472554,39517100,MSFT,2020-05-27,0.0013215968242152876,5,1.791759469228055
2020-05-28,172.79296875,175.41248738313547,171.82137594021566,172.16429532449058,33810200,MSFT,2020-05-28,-0.002254938940080886,8,2.1972245773362196
2020-05-29,174.55517578125,175.52678301222977,171.84993125203522,174.05984460970063,42130400,MSFT,2020-05-29,0.0101983723296033,1,0.6931471805599453
2020-06-01,174.1551055908203,174.31703770681008,172.8501138394492,173.87885733693813,22622400,MSFT,2020-06-01,-0.0022919411506368004,4,1.6094379124341003
2020-06-02,176.13641357421875,176.22213977548927,172.74533039924086,175.50772569531836,30794600,MSFT,2020-06-02,0.011376686182566154,0,0.0
2020-06-03,176.5650634765625,177.11754545638277,174.86952184719328,176.0506917214427,27311000,MSFT,2020-06-03,0.002433624562039327,2,1.0986122886681096
2020-06-04,174.24082946777344,177.02227987283794,173.65025181324634,175.5553560250542,28761800,MSFT,2020-06-04,-0.013163612115697942,3,1.3862943611198906
2020-06-05,178.31777954101562,178.82263107426536,173.3740310033493,173.95508846130764,39893600,MSFT,2020-06-05,0.023398362402746953,1,0.6931471805599453
2020-06-08,179.4227752685547,179.60376255478553,175.68877150851665,177.11760014533309,33211600,MSFT,2020-06-08,0.0061967781921874465,0,0.0
2020-06-09,180.79440307617188,181.651694207209,178.37491244759534,179.07980627930513,29783900,MSFT,2020-06-09,0.007644669443799268,2,1.0986122886681096
2020-06-10,187.5003662109375,189.10066141937924,181.94698529918037,182.06130144357863,43872300,MSFT,2020-06-10,0.03709165228937028,2,1.0986122886681096
2020-06-11,177.431884765625,186.47159494477745,177.2413772514786,183.96639279090863,52854700,MSFT,2020-06-11,-0.053698462828523086,1,0.6931471805599453
2020-06-12,178.83213806152344,182.623291383171,176.39359245482194,181.49927233718,43373600,MSFT,2020-06-12,0.007891779415791333,0,0.0
2020-06-15,179.97520446777344,181.7660071501727,175.27911483833037,175.8220765372761,32770200,MSFT,2020-06-15,0.006391839960313783,0,0.0
2020-06-16,184.3855133056641,186.3001377560509,182.37562783325563,183.73777033245815,42556700,MSFT,2020-06-16,0.02450509141485857,0,0.0
2020-06-17,185.0237579345703,187.00506839796023,184.49985127974224,185.7762678316549,25687800,MSFT,2020-06-17,0.0034614684064044887,0,0.0
2020-06-18,187.0050201416016,187.16695224134497,184.7950924714294,184.7950924714294,23061600,MSFT,2020-06-18,0.010708150289174823,0,0.0
2020-06-19,185.8905792236328,189.83414524257643,185.1475895776576,189.1673615262903,44441100,MSFT,2020-06-19,-0.005959417116850219,0,0.0
2020-06-22,191.05343627929688,191.2344090207964,185.96679556502613,186.50022256792,32818900,MSFT,2020-06-22,0.027773634776042,0,0.0
2020-06-23,192.3297882080078,194.2729879977729,191.87255275823532,192.50124060057937,30917400,MSFT,2020-06-23,0.00668060179166341,0,0.0
